epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1044.69,0.82071,3.68991,1.07794,0.37279,0.53631,0.45412,0.38574,0.57713,9.05711,0.90478,7.55537e-05,7.55537e-05,7.55537e-05
2,2102.78,0.72886,2.20197,1.02556,0.66131,0.76608,0.77162,0.66575,0.53423,7.71154,0.88867,0.000148226,0.000148226,0.000148226
3,3159.21,0.68278,1.64797,1.00329,0.8162,0.83499,0.87569,0.7561,0.53017,7.05475,0.90145,0.000217902,0.000217902,0.000217902
4,4215.2,0.65577,1.33785,0.98939,0.89119,0.88419,0.92175,0.81382,0.4718,7.28061,0.86006,0.000213516,0.000213516,0.000213516
5,5269.64,0.6194,1.14089,0.97288,0.86855,0.92327,0.93822,0.8353,0.45808,4.54954,0.85503,0.000209022,0.000209022,0.000209022
6,6324.69,0.59447,1.00915,0.96363,0.84639,0.95276,0.94518,0.84584,0.44235,3.96936,0.84886,0.000204527,0.000204527,0.000204527
7,7346.77,0.58528,0.90868,0.96299,0.89113,0.95645,0.95104,0.85691,0.42721,3.50832,0.83939,0.000200032,0.000200032,0.000200032
8,8394.94,0.56817,0.83378,0.95247,0.87745,0.95549,0.94894,0.86186,0.41604,5.2911,0.83457,0.000195538,0.000195538,0.000195538
9,9453.37,0.55422,0.78017,0.9444,0.88591,0.96798,0.95724,0.87301,0.40117,3.50859,0.82552,0.000191043,0.000191043,0.000191043
10,10514.5,0.54581,0.73756,0.94248,0.89716,0.95458,0.95554,0.87099,0.41025,2.49705,0.83086,0.000186549,0.000186549,0.000186549
11,11706.4,0.53021,0.69597,0.93909,0.9153,0.97929,0.95847,0.88,0.38807,2.02265,0.82336,0.000182054,0.000182054,0.000182054
12,12837.7,0.52691,0.66849,0.9337,0.92923,0.9751,0.96352,0.88971,0.38119,1.81694,0.81812,0.000177559,0.000177559,0.000177559
13,13837.6,0.52602,0.64652,0.93488,0.91895,0.9787,0.95902,0.88574,0.38177,2.38356,0.81811,0.000173065,0.000173065,0.000173065
14,14911.1,0.50562,0.61619,0.92566,0.92606,0.97969,0.96401,0.88993,0.38086,1.88458,0.82258,0.00016857,0.00016857,0.00016857
15,15888.3,0.50376,0.58954,0.92591,0.90529,0.98352,0.9609,0.88846,0.36706,1.91536,0.81607,0.000164076,0.000164076,0.000164076
16,16822.4,0.50073,0.58202,0.92489,0.90506,0.98347,0.95885,0.8836,0.38088,1.91262,0.82605,0.000159581,0.000159581,0.000159581
